,date,국고채(3년),"회사채(3년, AA-)",spread_pp,spread_z
178,2018-11-01,1.94,2.403,0.4630000000000001,-0.46731772398047633
179,2018-12-01,1.825,2.304,0.47899999999999987,-0.4364514880444513
180,2019-01-01,1.807,2.263,0.45599999999999996,-0.4808217022024877
181,2019-02-01,1.802,2.249,0.44700000000000006,-0.49818395991650183
182,2019-03-01,1.789,2.244,0.4550000000000003,-0.48275084194848866
183,2019-04-01,1.736,2.207,0.47099999999999986,-0.451884606012464
184,2019-05-01,1.679,2.153,0.474,-0.44609718677445903
185,2019-06-01,1.496,2.004,0.508,-0.3805064354104048
186,2019-07-01,1.382,1.885,0.5030000000000001,-0.39015213414041255
187,2019-08-01,1.164,1.689,0.5250000000000001,-0.3477110597283775
188,2019-09-01,1.287,1.792,0.5050000000000001,-0.3862938546484094
189,2019-10-01,1.357,1.861,0.504,-0.3882229943944112
190,2019-11-01,1.492,2.002,0.5099999999999998,-0.37664815591840206
191,2019-12-01,1.39,1.948,0.558,-0.2840494481103251
192,2020-01-01,1.373,1.955,0.5820000000000001,-0.23775009420628684
193,2020-02-01,1.253,1.847,0.5940000000000001,-0.21460041725426773
194,2020-03-01,1.091,1.84,0.7490000000000001,0.08441624337597915
195,2020-04-01,1.024,2.145,1.121,0.8020562288885713
196,2020-05-01,0.878,2.179,1.3009999999999997,1.1493013831688574
197,2020-06-01,0.85,2.218,1.3679999999999999,1.2785537461509644
198,2020-07-01,0.826,2.219,1.3929999999999998,1.326782239801004
199,2020-08-01,0.829,2.192,1.3630000000000002,1.268908047420957
200,2020-09-01,0.908,2.239,1.331,1.2071755755489058
201,2020-10-01,0.91,2.239,1.3289999999999997,1.203317296056902
202,2020-11-01,0.965,2.247,1.282,1.1126477279948277
203,2020-12-01,0.97,2.211,1.2409999999999999,1.0335529984087621
204,2021-01-01,0.975,2.143,1.1679999999999997,0.8927257969506456
205,2021-02-01,0.995,2.055,1.06,0.6843787043824743
206,2021-03-01,1.133,2.091,0.9580000000000002,0.48760645029031213
207,2021-04-01,1.138,1.983,0.8450000000000002,0.2696136589921322
208,2021-05-01,1.134,1.891,0.7570000000000001,0.0998493613439919
209,2021-06-01,1.302,1.913,0.611,-0.18180504157224084
210,2021-07-01,1.419,1.888,0.46899999999999986,-0.45574288550446723
211,2021-08-01,1.411,1.838,0.42700000000000005,-0.5367667548365337
212,2021-09-01,1.515,1.953,0.43800000000000017,-0.515546217630516
213,2021-10-01,1.842,2.302,0.45999999999999996,-0.47310514321848135
214,2021-11-01,1.953,2.492,0.5389999999999999,-0.32070310328435564
