,재별 및 상품군별,date,value,retail_log_yoy,retail_log_yoy_z
295,총지수,2020-07-01,98.0,0.0020429016298004754,-0.43474400556801013
296,총지수,2020-08-01,99.4,0.007067167223092419,-0.3553706473686946
297,총지수,2020-09-01,105.6,0.0514926763042709,0.3464636366698061
298,총지수,2020-11-01,104.4,-0.02085383628320514,-0.7964667183145854
299,총지수,2020-12-01,105.5,-0.02063863124622145,-0.7930669086967161
300,총지수,2021-01-01,100.3,0.000997506317125918,-0.45125916287251006
301,총지수,2021-01-01,110.3,0.08216039111507545,0.8309522584660782
302,총지수,2021-02-01,94.8,0.07898841131863055,0.7808413151034582
303,총지수,2021-03-01,105.1,0.1041982776908732,1.1791068360170984
304,총지수,2021-04-01,104.6,0.08475423565457607,0.8719298198477857
305,총지수,2021-05-01,108.1,0.03578536263843546,0.09831946299954365
306,총지수,2021-06-01,104.9,0.024120802796844032,-0.08595727742200696
307,총지수,2021-07-01,106.1,0.07941456694936466,0.7875737226362279
308,총지수,2021-08-01,103.6,0.041385216162853844,0.18678596052125077
309,총지수,2021-09-01,109.8,0.0390021578032691,0.14913839964434664
310,총지수,2021-11-01,109.4,0.04678121453934203,0.27203195399575114
311,총지수,2021-12-01,112.2,0.061572040172475084,0.5056974478362298
312,총지수,2022-01-01,105.6,0.0514926763042709,0.3464636366698061
313,총지수,2022-01-01,108.6,-0.01553251875962225,-0.712400533108222
314,총지수,2022-02-01,95.1,0.003159560290368013,-0.4171030297466022
315,총지수,2022-03-01,107.4,0.021647904191858913,-0.12502413468093335
316,총지수,2022-04-01,105.1,0.0047687262520828,-0.39168142256646754
317,총지수,2022-05-01,108.7,0.005535069482001553,-0.37957473064055225
318,총지수,2022-06-01,103.3,-0.015370139276658534,-0.7098352617016493
319,총지수,2022-07-01,103.8,-0.021916074888149062,-0.8132479659850756
320,총지수,2022-08-01,105.6,0.01912104144677862,-0.1649435175363193
321,총지수,2022-09-01,107.1,-0.024897551621727132,-0.8603493415678426
322,총지수,2022-11-01,106.9,-0.023117071956881396,-0.8322213201525174
323,총지수,2022-12-01,108.7,-0.031691198961432576,-0.967675396244215
324,총지수,2023-01-01,101.8,-0.03664826715573888,-1.0459871697958416
325,총지수,2023-01-01,104.7,-0.03657228962334358,-1.0447868765824486
326,총지수,2023-02-01,95.7,0.006289328907564062,-0.36765893868076516
327,총지수,2023-03-01,106.5,-0.008415196925284363,-0.5999610680984581
328,총지수,2023-04-01,103.4,-0.016307315808576917,-0.7246407784846924
329,총지수,2023-05-01,107.8,-0.008314135652266685,-0.5983645018990078
330,총지수,2023-06-01,104.8,0.014416395761348788,-0.23926751977239852
331,총지수,2023-07-01,101.6,-0.02142243558740642,-0.8054494512944076
332,총지수,2023-08-01,101.3,-0.0415719600175235,-1.1237716797754944
333,총지수,2023-09-01,105.5,-0.015052024537581588,-0.7048096843979837
334,총지수,2023-11-01,107.5,0.0055970295367178124,-0.3785958855684269
335,총지수,2023-12-01,108.1,-0.005535069482001553,-0.5544608088126863
336,총지수,2024-01-01,100.5,-0.012852376617291661,-0.6700596420191219
337,총지수,2024-01-01,103.5,-0.011527505171067709,-0.6491293201807262
338,총지수,2024-02-01,95.6,-0.0010454784015525576,-0.48353423966938514
339,총지수,2024-03-01,103.0,-0.033415996919844204,-0.9949237579465177
340,총지수,2024-04-01,100.5,-0.028447234575198266,-0.9164272401837203
341,총지수,2024-05-01,104.6,-0.03013410684407436,-0.9430764517645649
342,총지수,2024-06-01,100.8,-0.03891541624967321,-1.0818035958550773
343,총지수,2024-07-01,100.3,-0.012877840176491517,-0.6704619153798492
344,총지수,2024-08-01,99.7,-0.01592073428684504,-0.718533562807514
345,총지수,2024-09-01,103.9,-0.015282054810939805,-0.7084437031306569
346,총지수,2024-11-01,104.7,-0.02639172969122594,-0.8839543697897254
347,총지수,2024-12-01,105.8,-0.02150620522096336,-0.806772844138014
348,총지수,2025-01-01,100.7,0.001988072225386439,-0.4356102006119626
349,총지수,2025-01-01,103.9,0.003857285399758048,-0.4060803670302417
350,총지수,2025-02-01,93.9,-0.017942433843138872,-0.7504723765651615
351,총지수,2025-03-01,103.7,0.006773127005845758,-0.36001589532686074
352,총지수,2025-04-01,100.4,-0.0009955202415010689,-0.48274500055391323
353,총지수,2025-05-01,104.4,-0.0019138761822841133,-0.4972531895994055
354,총지수,2025-06-01,101.1,0.002971770389157413,-0.4200697349930175
355,총지수,2025-07-01,102.8,0.02461965805317501,-0.07807636105420275
356,총지수,2025-08-01,99.3,-0.004020105916665351,-0.5305274112847194
357,총지수,2025-09-01,106.2,0.021895210702656875,-0.12111718591357568
358,총지수,2025-11-01,105.5,0.007611835039630144,-0.34676598408031106
359,총지수,2025-12-01,107.1,0.012212458029503992,-0.2740853326030466
